"X","CodIstat","Comune","Anno","Total","Male","Female"
288,58028,"Cervara di Roma",2009,498,257,241
289,58028,"Cervara di Roma",2010,486,250,236
290,58028,"Cervara di Roma",2011,502,275,227
291,58029,"Cerveteri",2002,27281,13334,13947
292,58029,"Cerveteri",2003,29373,14431,14942
293,58029,"Cerveteri",2004,31261,15346,15915
294,58029,"Cerveteri",2005,32066,15771,16295
295,58029,"Cerveteri",2006,33039,16240,16799
296,58029,"Cerveteri",2007,33390,16407,16983
297,58029,"Cerveteri",2008,34338,16898,17440
298,58029,"Cerveteri",2009,35355,17360,17995
299,58029,"Cerveteri",2010,35692,17517,18175
300,58029,"Cerveteri",2011,36229,17779,18450
301,58118,"Ciampino",2002,36072,17502,18570
302,58118,"Ciampino",2003,36133,17520,18613
303,58118,"Ciampino",2004,37031,17916,19115
304,58118,"Ciampino",2005,37529,18165,19364
305,58118,"Ciampino",2006,37984,18363,19621
306,58118,"Ciampino",2007,37983,18373,19610
307,58118,"Ciampino",2008,37885,18239,19646
308,58118,"Ciampino",2009,38058,18311,19747
309,58118,"Ciampino",2010,38251,18362,19889
310,58118,"Ciampino",2011,38529,18459,20070
311,58030,"Ciciliano",2002,1159,572,587
312,58030,"Ciciliano",2003,1173,582,591
313,58030,"Ciciliano",2004,1206,601,605
314,58030,"Ciciliano",2005,1257,624,633
315,58030,"Ciciliano",2006,1287,639,648
316,58030,"Ciciliano",2007,1301,652,649
317,58030,"Ciciliano",2008,1387,701,686
318,58030,"Ciciliano",2009,1468,745,723
319,58030,"Ciciliano",2010,1452,735,717
320,58030,"Ciciliano",2011,1459,739,720
321,58031,"Cineto Romano",2002,612,285,327
322,58031,"Cineto Romano",2003,624,293,331
323,58031,"Cineto Romano",2004,639,303,336
324,58031,"Cineto Romano",2005,670,325,345
325,58031,"Cineto Romano",2006,673,324,349
326,58031,"Cineto Romano",2007,660,317,343
327,58031,"Cineto Romano",2008,662,322,340
328,58031,"Cineto Romano",2009,681,339,342
329,58031,"Cineto Romano",2010,679,340,339
330,58031,"Cineto Romano",2011,668,336,332
331,58032,"Civitavecchia",2002,49966,24029,25937
332,58032,"Civitavecchia",2003,50068,24027,26041
333,58032,"Civitavecchia",2004,50333,24146,26187
334,58032,"Civitavecchia",2005,50891,24395,26496
335,58032,"Civitavecchia",2006,51119,24511,26608
336,58032,"Civitavecchia",2007,51375,24607,26768
337,58032,"Civitavecchia",2008,51925,24881,27044
338,58032,"Civitavecchia",2009,52196,24953,27243
339,58032,"Civitavecchia",2010,52204,24967,27237
340,58032,"Civitavecchia",2011,52294,25027,27267
341,58033,"Civitella San Paolo",2002,1564,770,794
342,58033,"Civitella San Paolo",2003,1549,765,784
343,58033,"Civitella San Paolo",2004,1525,757,768
344,58033,"Civitella San Paolo",2005,1557,789,768
345,58033,"Civitella San Paolo",2006,1649,830,819
346,58033,"Civitella San Paolo",2007,1672,837,835
347,58033,"Civitella San Paolo",2008,1730,864,866
348,58033,"Civitella San Paolo",2009,1872,943,929
349,58033,"Civitella San Paolo",2010,1947,978,969
350,58033,"Civitella San Paolo",2011,2009,1020,989
351,58034,"Colleferro",2002,20712,10002,10710
352,58034,"Colleferro",2003,20635,9948,10687
353,58034,"Colleferro",2004,20644,9925,10719
354,58034,"Colleferro",2005,21536,10404,11132
355,58034,"Colleferro",2006,21581,10427,11154
356,58034,"Colleferro",2007,21502,10380,11122
357,58034,"Colleferro",2008,21856,10544,11312
358,58034,"Colleferro",2009,22071,10622,11449
359,58034,"Colleferro",2010,22170,10649,11521
360,58034,"Colleferro",2011,22142,10622,11520
361,58035,"Colonna",2002,3348,1619,1729
362,58035,"Colonna",2003,3377,1629,1748
363,58035,"Colonna",2004,3464,1683,1781
364,58035,"Colonna",2005,3553,1728,1825
365,58035,"Colonna",2006,3543,1714,1829
366,58035,"Colonna",2007,3563,1725,1838
367,58035,"Colonna",2008,3643,1778,1865
368,58035,"Colonna",2009,3809,1865,1944
369,58035,"Colonna",2010,3918,1912,2006
370,58035,"Colonna",2011,4016,1951,2065
371,58036,"Fiano Romano",2002,7956,3926,4030
372,58036,"Fiano Romano",2003,8569,4248,4321
373,58036,"Fiano Romano",2004,9028,4484,4544
374,58036,"Fiano Romano",2005,9656,4805,4851
375,58036,"Fiano Romano",2006,10191,5067,5124
376,58036,"Fiano Romano",2007,10851,5384,5467
377,58036,"Fiano Romano",2008,11645,5800,5845
378,58036,"Fiano Romano",2009,12657,6316,6341
379,58036,"Fiano Romano",2010,13369,6693,6676
380,58036,"Fiano Romano",2011,13978,6999,6979
381,58037,"Filacciano",2002,499,227,272
382,58037,"Filacciano",2003,489,219,270
383,58037,"Filacciano",2004,496,225,271
384,58037,"Filacciano",2005,515,233,282
385,58037,"Filacciano",2006,535,250,285
386,58037,"Filacciano",2007,540,255,285
387,58037,"Filacciano",2008,544,254,290
388,58037,"Filacciano",2009,535,252,283
389,58037,"Filacciano",2010,522,249,273
390,58037,"Filacciano",2011,526,253,273
391,58120,"Fiumicino",2002,50960,25162,25798
392,58120,"Fiumicino",2003,51846,25562,26284
393,58120,"Fiumicino",2004,52998,26138,26860
394,58120,"Fiumicino",2005,56602,28109,28493
395,58120,"Fiumicino",2006,59373,29679,29694
396,58120,"Fiumicino",2007,61145,30531,30614
397,58120,"Fiumicino",2008,63623,31724,31899
398,58120,"Fiumicino",2009,66510,33179,33331
399,58120,"Fiumicino",2010,68668,34223,34445
400,58120,"Fiumicino",2011,70985,35376,35609
401,58122,"Fonte Nuova",2002,22695,11159,11536
402,58122,"Fonte Nuova",2003,23071,11343,11728
403,58122,"Fonte Nuova",2004,23772,11707,12065
404,58122,"Fonte Nuova",2005,24659,12164,12495
405,58122,"Fonte Nuova",2006,25091,12341,12750
406,58122,"Fonte Nuova",2007,25829,12696,13133
407,58122,"Fonte Nuova",2008,26486,12986,13500
408,58122,"Fonte Nuova",2009,27475,13440,14035
409,58122,"Fonte Nuova",2010,28210,13802,14408
410,58122,"Fonte Nuova",2011,28620,13968,14652
411,58038,"Formello",2002,9404,4639,4765
412,58038,"Formello",2003,9681,4789,4892
413,58038,"Formello",2004,10265,5069,5196
414,58038,"Formello",2005,10871,5343,5528
415,58038,"Formello",2006,11173,5476,5697
416,58038,"Formello",2007,11362,5563,5799
417,58038,"Formello",2008,11831,5807,6024
418,58038,"Formello",2009,12138,5946,6192
419,58038,"Formello",2010,12409,6042,6367
420,58038,"Formello",2011,12802,6221,6581
421,58039,"Frascati",2002,19355,9359,9996
422,58039,"Frascati",2003,19492,9414,10078
423,58039,"Frascati",2004,19882,9565,10317
424,58039,"Frascati",2005,20149,9688,10461
425,58039,"Frascati",2006,20350,9758,10592
426,58039,"Frascati",2007,20649,9913,10736
427,58039,"Frascati",2008,20737,9929,10808
428,58039,"Frascati",2009,20931,10031,10900
429,58039,"Frascati",2010,20957,10013,10944
430,58039,"Frascati",2011,21285,10150,11135
431,58040,"Gallicano nel Lazio",2002,4620,2313,2307
432,58040,"Gallicano nel Lazio",2003,4782,2402,2380
433,58040,"Gallicano nel Lazio",2004,4952,2494,2458
434,58040,"Gallicano nel Lazio",2005,5179,2615,2564
435,58040,"Gallicano nel Lazio",2006,5294,2681,2613
436,58040,"Gallicano nel Lazio",2007,5361,2726,2635
437,58040,"Gallicano nel Lazio",2008,5638,2859,2779
438,58040,"Gallicano nel Lazio",2009,5837,2974,2863
439,58040,"Gallicano nel Lazio",2010,5958,3031,2927
440,58040,"Gallicano nel Lazio",2011,6058,3063,2995
441,58041,"Gavignano",2002,1752,874,878
442,58041,"Gavignano",2003,1770,888,882
443,58041,"Gavignano",2004,1799,907,892
444,58041,"Gavignano",2005,1870,950,920
445,58041,"Gavignano",2006,1897,960,937
446,58041,"Gavignano",2007,1922,980,942
447,58041,"Gavignano",2008,1970,996,974
448,58041,"Gavignano",2009,1976,994,982
449,58041,"Gavignano",2010,1999,1004,995
450,58041,"Gavignano",2011,1987,1003,984
451,58042,"Genazzano",2002,5327,2624,2703
452,58042,"Genazzano",2003,5342,2630,2712
453,58042,"Genazzano",2004,5470,2699,2771
454,58042,"Genazzano",2005,5537,2735,2802
455,58042,"Genazzano",2006,5646,2789,2857
456,58042,"Genazzano",2007,5706,2819,2887
457,58042,"Genazzano",2008,5851,2888,2963
458,58042,"Genazzano",2009,5953,2947,3006
459,58042,"Genazzano",2010,6002,2979,3023
460,58042,"Genazzano",2011,6036,2992,3044
461,58043,"Genzano di Roma",2002,22187,10867,11320
462,58043,"Genzano di Roma",2003,22204,10856,11348
463,58043,"Genzano di Roma",2004,22334,10884,11450
464,58043,"Genzano di Roma",2005,22564,11007,11557
465,58043,"Genzano di Roma",2006,22685,11034,11651
466,58043,"Genzano di Roma",2007,22695,11049,11646
467,58043,"Genzano di Roma",2008,23122,11239,11883
468,58043,"Genzano di Roma",2009,23772,11555,12217
469,58043,"Genzano di Roma",2010,24129,11731,12398
470,58043,"Genzano di Roma",2011,24364,11803,12561
471,58044,"Gerano",2002,1204,596,608
472,58044,"Gerano",2003,1201,598,603
473,58044,"Gerano",2004,1201,599,602
474,58044,"Gerano",2005,1197,594,603
475,58044,"Gerano",2006,1197,585,612
476,58044,"Gerano",2007,1210,599,611
477,58044,"Gerano",2008,1213,602,611
478,58044,"Gerano",2009,1250,620,630
479,58044,"Gerano",2010,1235,612,623
480,58044,"Gerano",2011,1253,628,625
481,58045,"Gorga",2002,761,370,391
482,58045,"Gorga",2003,753,368,385
483,58045,"Gorga",2004,752,367,385
484,58045,"Gorga",2005,779,380,399
485,58045,"Gorga",2006,767,376,391
486,58045,"Gorga",2007,758,369,389
487,58045,"Gorga",2008,788,387,401
488,58045,"Gorga",2009,798,397,401
489,58045,"Gorga",2010,785,391,394
490,58045,"Gorga",2011,778,386,392
491,58046,"Grottaferrata",2002,17670,8322,9348
492,58046,"Grottaferrata",2003,18025,8505,9520
493,58046,"Grottaferrata",2004,19004,8979,10025
494,58046,"Grottaferrata",2005,19606,9227,10379
495,58046,"Grottaferrata",2006,19986,9398,10588
496,58046,"Grottaferrata",2007,20310,9543,10767
497,58046,"Grottaferrata",2008,20555,9628,10927
498,58046,"Grottaferrata",2009,20893,9810,11083
499,58046,"Grottaferrata",2010,20926,9834,11092
500,58046,"Grottaferrata",2011,21039,9888,11151
501,58047,"Guidonia Montecelio",2002,67941,33578,34363
502,58047,"Guidonia Montecelio",2003,69624,34362,35262
503,58047,"Guidonia Montecelio",2004,71354,35254,36100
504,58047,"Guidonia Montecelio",2005,73073,36248,36825
505,58047,"Guidonia Montecelio",2006,75692,37454,38238
506,58047,"Guidonia Montecelio",2007,76770,37985,38785
507,58047,"Guidonia Montecelio",2008,78491,38820,39671
508,58047,"Guidonia Montecelio",2009,81496,40120,41376
509,58047,"Guidonia Montecelio",2010,82752,40780,41972
510,58047,"Guidonia Montecelio",2011,83736,41210,42526
511,58048,"Jenne",2002,496,247,249
512,58048,"Jenne",2003,478,241,237
513,58048,"Jenne",2004,476,238,238
514,58048,"Jenne",2005,460,227,233
515,58048,"Jenne",2006,446,220,226
516,58048,"Jenne",2007,432,210,222
517,58048,"Jenne",2008,433,210,223
518,58048,"Jenne",2009,427,206,221
519,58048,"Jenne",2010,416,197,219
520,58048,"Jenne",2011,407,194,213
521,58049,"Labico",2002,3758,1862,1896
522,58049,"Labico",2003,3978,1978,2000
523,58049,"Labico",2004,4271,2113,2158
524,58049,"Labico",2005,4523,2246,2277
525,58049,"Labico",2006,4763,2356,2407
526,58049,"Labico",2007,5078,2515,2563
527,58049,"Labico",2008,5397,2683,2714
528,58049,"Labico",2009,5721,2858,2863
529,58049,"Labico",2010,5834,2911,2923
530,58049,"Labico",2011,5982,2979,3003
531,58116,"Ladispoli",2002,30447,14823,15624
532,58116,"Ladispoli",2003,32114,15704,16410
533,58116,"Ladispoli",2004,32987,16186,16801
534,58116,"Ladispoli",2005,34482,17029,17453
535,58116,"Ladispoli",2006,35895,17778,18117
536,58116,"Ladispoli",2007,36609,18111,18498
537,58116,"Ladispoli",2008,37964,18779,19185
